id,county_name,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,rate,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips
'28015','Carroll',23214,2.75,0.86603,91.71893,38.7433,95.10335,41.90082,76.93312,24.9488,52.97562,1.85018,30860.16742,0
'48489','Willacy',22881,3.72,0.9713,91.13062,40.90427,95.88434,45.39363,79.45449,29.87747,50.22635,1.72249,29090.55995,1.28139
'48427','Starr',24441,3.81,1.19456,91.42862,42.28953,96.75763,47.35798,70.92718,22.79051,49.13909,1.80644,30269.84149,6.02074
'48261','Kenedy',36659,2.74,1.09892,67.66662,23.04457,72.05409,27.43204,64.97256,20.35051,44.62205,2.39948,42284.21566,3.80972
'35031','McKinley',31335,3.96,1.19107,72.51804,28.44109,76.68735,31.74524,61.00041,19.31344,44.07695,2.06983,34747.73137,9.40422
'28133','Sunflower',25012,3.03,0.82596,76.7797,33.22825,84.16724,40.55135,66.88983,23.42465,43.55145,1.70422,26223.05699,1.76673
'21013','Bell',24724,2.53,0.77162,72.60211,29.8013,77.66504,34.43588,61.53055,19.66645,42.80081,1.67257,24735.22429,2.25386
'28163','Yazoo',27356,2.94,0.92926,77.15718,34.49488,84.59001,40.39592,64.09873,24.12757,42.6623,1.80185,28499.37984,2.09022
'28005','Amite',29944,2.64,0.90306,78.28993,35.66065,81.36885,38.59723,64.80308,22.79728,42.62929,1.94225,31661.67653,0.57572
'45033','Dillon',26818,2.68,0.96467,74.85889,32.37239,80.77966,38.05849,65.26727,23.16094,42.4865,1.77329,26761.83557,2.1544
'28083','Leflore',23214,2.75,0.86603,78.43908,36.71812,87.90555,45.61726,68.47791,27.35393,41.72096,1.59586,21919.62733,8.42873
'28027','Coahoma',24726,2.8,0.89465,75.37847,34.06431,81.80543,40.16212,66.85556,25.97789,41.31416,1.63799,23904.47794,4.6605
'05013','Calhoun',31505,2.45,0.92697,68.27144,26.97128,70.15498,28.62373,59.60421,19.36742,41.30016,2.0007,31923.57702,0
'28011','Bolivar',26005,2.69,0.95511,77.04408,35.87282,84.94969,43.17746,66.9208,26.5191,41.17126,1.73104,24822.71814,2.94794
'45069','Marlboro',27688,2.68,0.83515,71.73594,30.95284,77.17049,35.62274,61.07934,21.79566,40.78309,1.76241,26450.58185,0.05457
'01047','Dallas',26029,2.6,0.88229,76.67628,36.03869,83.83503,42.15279,64.70819,25.81707,40.63759,1.69814,24722.67427,3.74766
'01087','Macon',27544,2.33,0.82248,77.40922,37.10202,83.98728,42.89225,63.40597,24.7759,40.3072,1.75982,26343.75404,1.10236
'22065','Madison',26441,2.62,0.77357,71.56867,31.27491,76.88686,35.86751,63.86826,24.62511,40.29376,1.68262,25385.74209,0.7917
'05123','St. Francis',27019,2.69,0.8114,71.83867,31.61531,77.32796,36.331,64.02422,24.90216,40.22336,1.74253,25448.87887,1.89558
'22029','Concordia',27793,2.61,0.89736,72.40245,32.37644,77.44957,37.0281,60.14581,21.08016,40.02601,1.77101,26268.07158,0.88904
'35029','Luna',27997,2.71,0.83853,71.13931,31.13242,75.66385,35.0832,60.80695,22.11032,40.00689,1.79332,26281.17629,0.01575
'13249','Schley',32873,2.78,1.09762,68.73376,28.74031,73.81088,33.71159,58.67804,18.89418,39.99346,2.02055,31308.50931,0.31538
'05107','Phillips',27361,2.64,0.86728,71.3059,31.3268,78.00419,37.04103,63.22854,24.4361,39.9791,1.74543,25764.78108,0.36075
'37131','Northampton',30488,2.52,0.90138,71.53715,31.7252,75.4852,35.59248,59.78855,20.21698,39.81194,1.87367,28767.72217,0.89187
'13239','Quitman',32716,2.52,0.86157,68.8963,29.15804,71.871,32.10643,61.8066,22.13105,39.73826,1.99194,31062.01785,0
'48389','Reeves',32593,3.4,1.18674,68.25732,28.82359,72.33464,32.51453,56.46285,18.14679,39.43373,1.93524,32334.47719,11.14854
'13209','Montgomery',32338,2.6,1.01657,67.27239,27.87282,71.34101,31.8555,57.18892,18.00235,39.39957,1.96201,30279.91135,0
'21235','Whitley',28122,2.63,0.8502,70.99947,31.60173,74.8417,34.8734,61.94699,23.89354,39.39773,1.76755,25619.55959,3.75065
'37155','Robeson',29667,2.89,1.02071,71.96368,32.913,77.50143,38.0639,60.6038,22.34667,39.05068,1.82473,26842.42867,4.87866
'26083','Keweenaw',34465,2.34,0.9446,64.12179,25.07628,66.16679,27.04862,49.70187,11.16881,39.0455,2.04979,32749.00825,0
'29197','Schuyler',31213,2.29,0.95977,64.1464,25.23864,68.44182,29.35883,53.37913,14.91061,38.90776,1.93898,28076.5243,0
'13155','Irwin',31497,2.58,0.84402,67.33863,28.45342,69.19628,29.95307,60.44777,22.89051,38.88521,1.90504,28796.36358,0
'31007','Banner',38903,2.38,1.08891,70.77064,31.91087,79.93122,41.07144,52.78877,13.929,38.85977,2.27481,37253.05778,0
'21165','Menifee',33108,2.59,0.97426,64.6203,25.89466,66.318,27.57012,56.39005,17.7722,38.72564,1.98116,30726.40851,1.60713
'13003','Atkinson',34844,2.74,1.02991,62.58438,24.03972,66.85301,28.17236,51.58335,13.3892,38.54465,2.05116,32197.1576,0
'47029','Cocke',28809,2.38,0.87192,70.8308,32.42852,75.28417,36.52902,58.79687,21.34812,38.40228,1.75221,25802.45639,2.04637
'22117','Washington',30363,2.61,0.86816,69.2986,31.05176,73.10531,34.18579,58.24289,21.9497,38.24684,1.81191,28041.80892,1.30834
'28069','Kemper',32281,2.41,0.90914,64.60448,26.39425,67.11956,28.49454,56.46068,19.59351,38.21023,1.97251,28910.12434,14.18289
'05101','Newton',35074,2.49,1.00082,63.93881,25.75172,66.9368,28.61024,52.17522,14.53541,38.18709,2.07207,32644.78369,0.70319
'13141','Hancock',34513,2.59,0.92199,70.26472,32.1302,73.58078,35.35365,60.06074,22.21117,38.13452,2.00871,31569.73859,0.89434
'01109','Pike',29181,2.38,0.99827,71.87896,33.95291,80.1597,41.33147,61.22169,24.45674,37.92605,1.7831,25769.45527,2.02429
'13081','Crisp',29960,2.58,0.94453,70.71872,32.84102,78.5912,39.62906,59.60829,23.26107,37.8777,1.76215,26721.13298,1.8513
'04023','Santa Cruz',36519,3.79,1.27705,71.54197,33.82167,76.47425,38.22568,59.46822,23.04107,37.7203,2.07293,31396.56347,3.24562
'28023','Clarke',32281,2.41,0.90914,66.05568,28.57969,68.02217,30.40311,59.07071,22.10291,37.47599,1.92892,28421.8677,19.60124
'21011','Bath',33108,2.59,0.97426,66.45706,29.02707,70.05819,32.39198,51.46093,15.01465,37.42999,1.93115,29431.8086,0.89948
'16043','Fremont',38565,3.3,1.34457,64.75662,27.45919,67.20981,29.62741,53.84927,17.81885,37.29743,2.17684,34977.29648,1.14772
'28001','Adams',27793,2.61,0.89736,71.91456,34.73694,78.02504,39.99807,59.46829,24.0207,37.17762,1.70375,23386.33818,4.8814
'21135','Lewis',33547,2.58,0.93217,65.44044,28.30248,67.63286,30.15481,53.67354,18.36084,37.13797,1.93583,29685.84235,0.38816
'48323','Maverick',28813,3.61,1.2423,70.91658,33.79698,76.43617,38.77344,58.18966,22.32239,37.1196,1.79622,23774.85242,5.33618
'28061','Jasper',34843,2.59,0.99713,65.8297,28.71061,67.77845,30.50807,55.88536,19.53821,37.1191,2.01449,31290.18395,1.16568
'48393','Roberts',40881,2.47,0.92077,60.95103,23.85259,62.90623,25.80779,54.78842,17.68998,37.09844,2.25452,36660.79327,0
'13071','Colquitt',32902,2.81,1.1542,63.56968,26.63528,68.30226,30.60261,55.93088,20.23164,36.9344,1.92207,28037.27375,2.49925
'22069','Natchitoches',30326,2.58,0.97754,68.24641,31.3786,74.13236,36.12424,58.88392,23.82996,36.86781,1.79745,26080.63015,5.74762
'37165','Scotland',29368,2.58,0.80177,70.81908,34.16811,77.51927,39.96731,58.52917,23.53086,36.65097,1.71432,24627.44981,4.6753
'31073','Gosper',41783,2.68,1.2386,59.19813,22.56484,61.48319,24.88074,51.64269,14.90744,36.63329,2.26094,36406.86032,0
'31117','McPherson',45293,2.36,1.09247,58.95327,22.32325,66.62451,29.99449,47.99436,11.36434,36.63002,2.41279,40123.50426,0
'13055','Chattooga',32419,2.77,1.02151,65.57851,28.96369,69.26635,32.29405,56.03907,20.34894,36.61482,1.86212,27630.94659,3.8795
'28113','Pike',29944,2.64,0.90306,69.88128,33.29701,74.83725,37.42333,56.51875,22.1714,36.58427,1.77708,25290.14245,4.67292
'47075','Haywood',32414,2.53,0.9663,69.5155,32.96279,75.71293,38.3402,57.85001,22.84087,36.5527,1.85868,27928.19007,2.27935
'13007','Baker',36828,2.58,0.99493,63.3327,26.82311,68.98009,32.43163,52.3234,15.88958,36.50959,2.12364,31017.9211,13.72164
'37153','Richmond',30439,2.63,0.89087,67.73637,31.31142,72.4665,35.68012,56.32334,20.77046,36.42495,1.75532,25538.56361,5.34165
'45029','Colleton',33263,2.53,0.92916,67.75387,31.50359,71.19958,34.70998,58.68259,23.06237,36.25027,1.87434,28358.85909,2.19003
'13101','Echols',38973,2.63,1.14727,61.07984,24.88295,62.7946,26.56932,56.9264,20.79829,36.19689,2.16094,33713.29685,0
'47013','Campbell',30686,2.54,0.83439,64.90995,28.76804,69.30931,32.71347,53.60981,18.63384,36.14192,1.75488,25896.5187,1.31744
'28025','Clay',31727,2.59,0.92809,67.40324,31.26397,71.9199,35.17858,56.0985,21.46607,36.13927,1.82764,27028.16711,2.51266
'22067','Morehouse',31781,2.67,0.91309,65.28413,29.16378,68.53576,31.85922,57.16391,22.4325,36.12036,1.82797,27087.47609,3.1478
'45023','Chester',32743,2.63,0.97367,66.44489,30.40289,69.76441,33.28211,55.75898,21.13437,36.042,1.84823,27509.37813,6.2164
'29069','Dunklin',29375,2.37,0.79558,63.71761,27.71697,68.44058,31.89964,55.88787,20.78295,36.00063,1.68725,24460.78459,1.64758
'28151','Washington',27797,2.74,0.89595,69.4486,33.45307,75.06325,38.7561,62.24121,26.64569,35.99554,1.6693,22304.19384,7.32577
'01005','Barbour',32716,2.52,0.86157,65.50112,29.52448,70.78574,33.94753,54.24809,20.10606,35.97664,1.86178,27995.99367,0.88839
'37083','Halifax',30488,2.52,0.90138,69.6342,33.66409,75.46614,39.19316,59.24669,23.81603,35.97011,1.75122,25015.4545,5.02364
'13261','Sumter',32873,2.78,1.09762,64.89726,28.92865,70.00467,33.0525,56.188,21.8966,35.9686,1.87772,27158.73044,1.93034
'13279','Toombs',32338,2.6,1.01657,65.1132,29.17816,70.70476,34.02209,55.73501,21.0539,35.93504,1.86045,26445.66973,1.96821
'05025','Cleveland',36028,2.66,0.97921,63.15404,27.27395,65.72974,29.86281,54.00625,18.07938,35.8801,2.06174,30368.88181,19.18617
'40021','Cherokee',32322,2.68,0.96398,64.31065,28.44908,69.68759,32.75574,53.65592,19.91519,35.86157,1.85028,26791.70977,2.54489
'01017','Chambers',31467,2.51,0.93056,67.80541,31.95083,71.91966,35.65436,57.54974,22.71897,35.85458,1.80326,26515.05267,2.11115
'13167','Johnson',36676,2.62,0.99682,59.67423,23.92542,63.28652,27.41878,51.26718,15.79515,35.74881,2.01428,31230.71904,1.34602
'05103','Ouachita',31505,2.45,0.92697,62.45785,26.79815,66.41062,30.3035,53.33561,18.70844,35.65971,1.82738,25868.1523,1.82853
'05019','Clark',31968,2.31,0.97138,65.79905,30.15701,70.63369,33.84978,55.69677,22.44073,35.64205,1.8376,26499.77888,2.01518
'47183','Weakley',32358,2.35,0.95411,65.37774,29.77281,70.70729,34.3314,54.96988,20.87054,35.60493,1.83355,26725.90487,1.62526
'47087','Jackson',34505,2.43,0.96534,63.29918,27.78026,66.67276,31.10351,52.43078,17.07399,35.51892,1.91509,29020.49989,1.03809
'01037','Coosa',36488,2.49,0.98292,62.73482,27.26504,65.0187,29.56507,50.97989,15.42699,35.46978,2.01734,31288.11831,0.84832
'13087','Decatur',33297,2.55,0.99427,65.34346,29.88066,70.87813,34.31399,54.6546,21.31876,35.4628,1.87093,27191.05841,2.12614
'05079','Lincoln',36028,2.66,0.97921,59.91053,24.4772,62.71215,27.14928,53.57536,18.43493,35.43334,2.02199,30267.3071,11.2329
'47133','Overton',34505,2.43,0.96534,63.1416,27.86804,65.96066,30.6831,51.55536,16.29827,35.27356,1.92062,28511.22156,0.58645
'13017','Ben Hill',31497,2.58,0.84402,63.96283,28.78625,68.42391,32.78928,56.56494,22.14796,35.17658,1.77566,25192.16193,0.2359
'28003','Alcorn',32342,2.66,1.00166,63.14349,27.99011,67.04944,31.46551,52.42882,18.45653,35.15338,1.85274,26114.03078,3.06037
'22097','St. Landry',31813,2.76,0.99357,63.05985,27.99931,67.09273,31.34486,53.10805,19.74362,35.06053,1.78623,26137.13776,5.32137
'13069','Coffee',34844,2.74,1.02991,61.81447,26.78463,65.16302,29.7908,53.96603,19.73867,35.02984,1.93522,28087.66033,1.89291
'01063','Greene',40293,2.62,1.11572,60.50325,25.48798,62.74182,27.58435,54.98937,20.32434,35.01527,2.13203,33312.1216,0.14952
'48235','Irion',41489,2.48,1.13683,59.38374,24.48562,61.12839,25.93437,50.7276,17.29758,34.89813,2.18005,34503.7617,0
'31113','Logan',45293,2.36,1.09247,59.86973,25.1826,64.17036,29.48323,50.67819,15.99105,34.68713,2.31126,37533.05016,0
'54019','Fayette',31912,2.43,0.80327,61.31505,26.6299,64.08085,29.10831,52.11811,18.38862,34.68515,1.75465,25482.75134,0.43042
'45075','Orangeburg',32849,2.54,0.94075,64.92778,30.27507,69.15793,33.82786,55.86934,22.66713,34.65271,1.81687,25980.77025,4.97812
'20017','Chase',37282,2.4,1.12343,64.61981,30.04008,68.02581,33.1794,49.41161,16.02268,34.57972,1.99992,30773.62062,0.07869
'04017','Navajo',39774,2.97,0.93215,62.37986,27.91844,65.86785,31.05127,53.1795,19.65488,34.46143,2.0582,31313.10629,2.26764
'12049','Hardee',37466,3.26,1.20214,64.97773,30.58539,67.86408,33.07001,56.45218,23.24643,34.39235,1.99486,30118.81943,6.74917
'47099','Lawrence',34985,2.6,0.99036,62.33232,27.94112,65.67638,30.96339,50.56349,17.30479,34.3912,1.90843,28019.70472,1.06788
'28105','Oktibbeha',30320,2.4,0.99295,69.15159,34.78304,77.70894,41.86351,60.26647,27.43135,34.36856,1.74007,23207.53512,6.65286
'37193','Wilkes',33438,2.45,0.98987,65.85704,31.51356,70.47155,35.85967,52.53586,18.96719,34.34348,1.84667,25989.46861,4.28841
'13229','Pierce',36151,2.61,0.97762,62.04185,27.72824,65.32812,30.83709,51.28942,17.55631,34.31361,1.9565,28722.93995,0
'48463','Uvalde',35087,2.9,1.11765,62.9648,28.69886,65.67883,31.13488,55.4181,21.9252,34.26594,1.90698,28635.12628,4.87176
'05099','Nevada',36322,2.45,0.99799,59.26149,25.01521,62.02765,27.49984,52.39447,18.8471,34.24627,1.98467,29083.26113,43.5268
'46061','Hanson',42355,2.34,1.12954,58.2077,23.97231,59.92831,25.68951,48.81641,14.59967,34.23539,2.17547,33902.32098,0
'22049','Jackson',37354,2.59,1.02001,58.00037,23.83727,61.72923,27.13821,49.98155,16.73868,34.1631,2.01164,30472.8108,0.46414
'48395','Robertson',38426,2.59,1.14203,62.42453,28.33412,67.74743,33.29348,51.68336,18.32655,34.09041,2.04873,31707.63849,0.97547
'21173','Montgomery',33108,2.59,0.97426,62.57532,28.50579,66.97597,32.23264,52.93129,20.33838,34.06953,1.80087,26055.45518,4.76686
'01049','DeKalb',35065,2.65,1.02538,60.32401,26.37123,62.96954,28.86857,51.20797,17.76577,33.95279,1.91789,27728.82584,1.64088
'35047','San Miguel',32213,2.31,0.81999,67.6207,33.67244,73.74999,39.0608,55.27433,22.81855,33.94826,1.79362,24924.10142,2.83308
'01065','Hale',40293,2.62,1.11572,57.76309,23.85424,61.53553,27.38366,46.8504,13.64453,33.90885,2.08242,31941.14582,0.57572
'35006','Cibola',37361,3.11,0.93077,58.21817,24.31437,62.27609,27.65976,49.45902,17.09324,33.9038,1.9954,30268.93548,0.65249
'13289','Twiggs',40746,2.63,1.04019,64.65898,30.77361,67.10014,33.2445,54.22323,20.2108,33.88537,2.08919,31571.35865,1.89025
'13321','Worth',36828,2.58,0.99493,61.02833,27.22481,65.13957,31.17028,51.0144,17.61469,33.80351,1.97453,28601.28211,9.00337
'13273','Terrell',36828,2.58,0.99493,59.79792,26.01716,65.47976,31.1901,51.06882,18.06989,33.78076,1.97779,28505.70196,9.23251
'48073','Cherokee',36966,2.83,1.05126,61.15416,27.41223,64.49989,30.47615,51.59108,18.65466,33.74193,1.97488,29773.56956,3.68582
'48051','Burleson',38426,2.59,1.14203,58.98001,25.24579,61.2012,27.37539,50.00402,16.63991,33.73422,2.03546,31235.21756,1.22354
'45087','Union',33470,2.33,0.8768,63.29861,29.56523,67.20631,33.07723,52.64149,19.98723,33.73339,1.78424,26071.89812,2.94815
'13027','Brooks',38973,2.63,1.14727,58.07434,24.36267,60.34226,26.5935,51.53467,17.92998,33.71166,2.05084,30769.43467,0.51255
'13257','Stephens',34938,2.67,1.03587,64.01885,30.31417,67.41542,33.43842,55.27568,22.27198,33.70469,1.87764,26903.84997,6.01897
'40085','Love',39172,2.59,1.07722,57.65066,23.95125,59.99184,26.14845,50.25045,17.00616,33.6994,2.05948,31310.65991,1.38652
'12027','DeSoto',35979,2.91,1.05201,67.36561,33.67213,69.88591,35.83938,58.15313,25.75017,33.69348,1.88922,28131.58275,6.79139
'13293','Upson',34509,2.57,0.97318,62.8428,29.16347,67.09571,33.01257,52.99721,20.25273,33.67932,1.83235,26902.94,4.28096
'13183','Long',42489,2.77,1.20915,55.08853,21.43167,57.85449,24.00866,50.34948,17.01638,33.65687,2.14561,33016.55122,1.68237
'04007','Gila',37580,2.65,0.85199,66.57079,32.96246,69.32194,35.5071,56.62969,23.76759,33.60833,1.88382,29052.98402,1.1019
'13173','Lanier',38973,2.63,1.14727,57.58629,23.99961,61.07246,26.89783,51.75723,19.15364,33.58668,2.0353,30787.91631,0
'21161','Mason',33547,2.58,0.93217,61.47045,27.96756,66.18145,31.98565,49.99965,18.18393,33.50289,1.80967,25717.24933,3.02029
'13221','Oglethorpe',40627,2.65,1.13154,62.4284,28.94705,65.54302,31.98758,49.90003,16.71675,33.48134,2.07908,30724.24225,6.84723
'29091','Howell',35282,2.56,0.98027,58.54486,25.10596,61.8712,27.79205,49.97729,18.18747,33.4389,1.89959,27004.55829,1.50565
'48347','Nacogdoches',33189,2.53,1.05261,64.32961,30.91644,69.79844,34.8248,56.15179,25.07206,33.41318,1.81985,25259.37324,12.29405
'47177','Warren',34946,2.6,1.00013,60.74011,27.34177,64.36705,30.437,50.92271,18.9636,33.39834,1.85956,27027.83935,4.10376
'05063','Independence',34625,2.37,0.9752,58.76926,25.42922,61.30281,27.56737,51.97827,19.69806,33.34004,1.88528,26455.37381,1.33932
'05093','Mississippi',33407,2.69,0.97457,59.12805,25.78871,63.01184,29.22326,53.31816,20.65084,33.33934,1.81311,25615.88333,2.57516
'13031','Bulloch',34327,2.57,1.06798,65.67696,32.34582,71.38605,36.48264,58.54112,27.17518,33.33114,1.83971,25884.45175,6.80992
'46057','Hamlin',43459,2.42,1.18844,57.83581,24.50783,60.15529,26.844,46.4616,13.05174,33.32799,2.17424,33842.54002,0
'05149','Yell',38813,2.63,1.11988,55.66861,22.3727,57.90371,24.22001,50.42944,18.04251,33.29591,2.04131,30788.06546,0.70083
'13197','Marion',41323,2.48,0.9797,58.20055,24.92685,62.27013,28.84606,46.35812,13.522,33.2737,2.07722,31506.77899,0
'21083','Graves',35277,2.47,0.94222,60.13641,26.8962,63.16882,29.27778,50.39249,19.24356,33.24021,1.87915,26977.7036,3.49446
'05047','Franklin',38295,2.59,1.05948,58.88003,25.67403,61.32169,27.87852,49.81171,17.4866,33.206,2.00519,30352.12398,0.89034
'21169','Metcalfe',37350,2.46,1.00693,57.11191,23.91995,59.05909,25.71758,49.76342,17.13583,33.19197,1.97672,28522.30298,36.8627
'21199','Pulaski',32771,2.37,0.90933,62.80728,29.68167,66.92424,33.29113,51.29261,19.58644,33.12561,1.78085,24283.07223,4.99017
'26113','Missaukee',40128,2.54,0.99497,62.05916,28.95497,63.90354,30.74549,53.18953,20.34433,33.1042,2.03773,30273.36252,0.61602
